"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2396","Create course","LMS system","Fri Aug 22 15:09:52 GMT 2025","passed","Fri Aug 22 15:09:54 GMT 2025","Courses","Courses","",""
"","1558","Registration with correct email, username and password","LMS system","Fri Aug 22 15:09:50 GMT 2025","passed","Fri Aug 22 15:09:52 GMT 2025","Registration","Authentication","",""
"","1248","Check displaying of empty courses list","LMS system","Fri Aug 22 15:09:54 GMT 2025","passed","Fri Aug 22 15:09:56 GMT 2025","Courses","Courses","",""
"","1402","Check displaying of dashboard page","LMS system","Fri Aug 22 15:09:56 GMT 2025","passed","Fri Aug 22 15:09:58 GMT 2025","Dashboard","Dashboard","",""
"","2715","User login with correct email and password","LMS system","Fri Aug 22 15:09:47 GMT 2025","passed","Fri Aug 22 15:09:50 GMT 2025","Authorization","Authentication","",""
"","2612","Edit course","LMS system","Fri Aug 22 15:09:53 GMT 2025","passed","Fri Aug 22 15:09:56 GMT 2025","Courses","Courses","",""
"","1287","User login with wrong email or password","LMS system","Fri Aug 22 15:09:47 GMT 2025","passed","Fri Aug 22 15:09:48 GMT 2025","Authorization","Authentication","",""
"","2017","User login with wrong email or password","LMS system","Fri Aug 22 15:09:45 GMT 2025","passed","Fri Aug 22 15:09:47 GMT 2025","Authorization","Authentication","",""
"","1937","User login with wrong email or password","LMS system","Fri Aug 22 15:09:45 GMT 2025","passed","Fri Aug 22 15:09:47 GMT 2025","Authorization","Authentication","",""
"","1416","Navigation from login page to registration page","LMS system","Fri Aug 22 15:09:49 GMT 2025","passed","Fri Aug 22 15:09:50 GMT 2025","Authorization","Authentication","",""
