"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 11 18:47:44 GMT 2025","Mon Aug 11 18:47:46 GMT 2025","1658","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Aug 11 18:47:44 GMT 2025","Mon Aug 11 18:47:46 GMT 2025","1693","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Aug 11 18:47:54 GMT 2025","Mon Aug 11 18:47:56 GMT 2025","1674","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Aug 11 18:47:49 GMT 2025","Mon Aug 11 18:47:51 GMT 2025","1523","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Mon Aug 11 18:47:46 GMT 2025","Mon Aug 11 18:47:49 GMT 2025","2892","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Aug 11 18:47:52 GMT 2025","Mon Aug 11 18:47:54 GMT 2025","1412","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Mon Aug 11 18:47:46 GMT 2025","Mon Aug 11 18:47:48 GMT 2025","1582","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Aug 11 18:47:48 GMT 2025","Mon Aug 11 18:47:49 GMT 2025","1493","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Mon Aug 11 18:47:53 GMT 2025","Mon Aug 11 18:47:56 GMT 2025","2676","LMS system","Courses","Courses","","","Edit course",""
"passed","Mon Aug 11 18:47:51 GMT 2025","Mon Aug 11 18:47:53 GMT 2025","2055","LMS system","Courses","Courses","","","Create course",""
